Source,Episode,Vocabulary,Type,Description,Example
,,artillery,noun,"large, heavy guns which are often moved on wheels",artillery attacks/barrages/shells
,,hold your ground,phrase,to not move when someone attacks you or is going to attack you.,Ukrainian forces were holding their ground.
,,hail,verb,"to signal to a taxi or a bus, in order to get the driver to stop",hail a taxi/cab
,,porter,noun,a person whose job is to move patients from one place to another in a hospital,Some Sherpas act as guides and porters for mountaineering expeditions.
,,paramedic,noun,"a person whose job is to help people who are sick or injured, but who is not a doctor or a nurse",Paramedics treated the injured at the roadside.
,,escort,noun,a person or group of people or vehicles that travels with somebody/something in order to protect or guard them,under police escort
,,wrangle,noun,an argument that is complicated and continues over a long period of time,a legal wrangle between the company and their suppliers
,,incite,verb,"to encourage somebody to do something violent, illegal or unpleasant, especially by making them angry or excited",incite crime/racial hatred/violence
,,dote-on,phrasal verb,"to feel and show great love for somebody, ignoring their faults",He dotes on his children.
,,deterrent,noun,something that makes somebody less likely to do something (= that deters them),Hopefully his punishment will act as a deterrent to others.
,,decapitate,verb,to cut off somebody???s head,His decapitated body was found floating in a canal.
,,aggravate,verb,to make an illness or a bad or unpleasant situation worse,Pollution can aggravate asthma.
,,devious,adjective,"behaving in a dishonest or indirect way, or tricking people, in order to get something",a devious politician
,,hand down,phrasal verb,to give or leave something to somebody who is younger than you,These skills used to be handed down from father to son.
